model,shape,horizon,state_mse,input_mse
helicopter,circle,12,0.000640,0.008161
helicopter,circle,13,0.000554,0.007847
helicopter,circle,14,0.000476,0.007754
helicopter,circle,15,0.000666,0.007917
helicopter,circle,16,0.000304,0.007902
helicopter,circle,17,0.000436,0.008451
helicopter,circle,18,0.000402,0.008013
helicopter,circle,19,0.000570,0.007733
helicopter,circle,20,0.000603,0.007814
helicopter,circle,2,0.426290,0.003029
helicopter,circle,3,0.404870,0.006717
helicopter,circle,4,0.395031,0.008029
helicopter,circle,5,0.393554,0.008147
helicopter,circle,6,0.000398,0.007557
helicopter,circle,7,0.000662,0.007581
helicopter,circle,8,0.393454,0.007251
helicopter,circle,9,0.000484,0.007579
helicopter,circle,10,0.000813,0.008658
helicopter,circle,11,0.000769,0.008082
helicopter,circle,12,0.000401,0.007900
helicopter,circle,13,0.000490,0.008281
helicopter,circle,14,0.000284,0.007515
helicopter,circle,15,0.000677,0.008752
helicopter,circle,16,0.000292,0.007821
helicopter,circle,17,0.000617,0.008577
helicopter,circle,18,0.000155,0.007720
helicopter,circle,19,0.000613,0.008066
helicopter,circle,20,0.000663,0.008004
helicopter,circle,2,0.428334,0.003057
helicopter,circle,3,0.011420,0.006447
helicopter,circle,4,0.394651,0.007792
helicopter,circle,5,0.000816,0.007853
helicopter,circle,6,0.393790,0.008172
helicopter,circle,7,0.393351,0.007471
helicopter,circle,8,0.000659,0.007637
helicopter,circle,9,0.000857,0.007890
helicopter,circle,10,0.000895,0.007602
helicopter,circle,11,0.000435,0.007814
helicopter,circle,12,0.000574,0.008533
helicopter,circle,13,0.000663,0.007887
helicopter,circle,14,0.000186,0.007805
helicopter,circle,15,0.000607,0.007685
helicopter,circle,16,0.000560,0.008724
helicopter,circle,17,0.000613,0.007854
helicopter,circle,18,0.000430,0.007963
helicopter,circle,19,0.000603,0.007941
helicopter,circle,20,0.001103,0.009051
helicopter,circle,2,0.425689,0.003126
helicopter,circle,3,0.404287,0.006395
helicopter,circle,4,0.395213,0.008280
helicopter,circle,5,0.393378,0.007957
helicopter,circle,6,0.393567,0.007670
helicopter,circle,7,0.393621,0.008152
helicopter,circle,8,0.000712,0.008016
helicopter,circle,9,0.000290,0.007244
helicopter,circle,10,0.000584,0.007338
helicopter,circle,11,0.000542,0.007286
helicopter,circle,12,0.000578,0.008007
helicopter,circle,13,0.000796,0.008509
helicopter,circle,14,0.000675,0.007866
helicopter,circle,15,0.000316,0.007440
helicopter,circle,16,0.000415,0.007629
helicopter,circle,17,0.000609,0.008042
helicopter,circle,18,0.000493,0.007719
helicopter,circle,19,0.000564,0.008756
helicopter,circle,20,0.000982,0.008890
helicopter,circle,2,0.430671,0.003032
helicopter,circle,3,0.011648,0.006373
helicopter,circle,4,0.394652,0.008301
helicopter,circle,5,0.393626,0.008247
helicopter,circle,6,0.393467,0.007905
helicopter,circle,7,0.393580,0.007545
helicopter,circle,8,0.393440,0.007425
helicopter,circle,9,0.000655,0.007575
helicopter,circle,10,0.000548,0.008065
helicopter,circle,11,0.000596,0.008352
helicopter,circle,12,0.000689,0.007368
helicopter,circle,13,0.000582,0.008079
helicopter,circle,14,0.000876,0.008161
helicopter,circle,15,0.000602,0.008708
helicopter,circle,16,0.000546,0.007804
helicopter,circle,17,0.000549,0.007990
helicopter,circle,18,0.000656,0.008082
helicopter,circle,19,0.000479,0.008411
helicopter,circle,20,0.000800,0.008470
helicopter,circle,2,0.427378,0.003030
helicopter,circle,3,0.404713,0.006537
helicopter,circle,4,0.395487,0.008338
helicopter,circle,5,0.001180,0.008341
helicopter,circle,6,0.000815,0.008240
helicopter,circle,7,0.393646,0.008002
